item,name,group,party,district,constituency,gender,dob,dobPrecision,psid
Q18508947,Iva Dimic,,,,,female,1972-10-28,11,Q18508947-99D16006-A7BF-4CFC-A7DD-F4D5417CA06C
Q18524166,Branko Grims,,,,,male,1962-08-26,11,Q18524166-381D76DF-0A87-4BB5-BE11-ED650CB9162A
Q18529471,Franc Trček,,,,,male,1969-01-03,11,Q18529471-A6E755D6-0F08-480A-BF31-E8356F892EE1
Q18587289,Jani (Janko) Möderndorfer,,,,,male,1965-10-03,11,Q18587289-23A02B59-FAAF-4349-8561-3B376A1716CD
Q18604336,Jože Tanko,,,,,male,1956-04-16,11,Q18604336-33C72AD0-841E-4777-95C9-C8C74CC6C601
Q18604372,Jožef Horvat,,,,,male,1955-07-08,11,Q18604372-96B7DEA6-F0C0-46E6-87C9-527C9E51F2DC
Q18627634,Luka Mesec,,,,,male,1987-07-01,11,Q18627634-0D4EFDC3-59A3-4C3A-B95F-CCC26B78E100
Q18627666,Marijan Pojbič,,,,,male,1961-02-06,11,Q18627666-6B209CA1-D3E3-4953-8A3C-837D7EEFF42E
Q18644528,Marko Pogačnik,,,,,male,1972-01-30,11,Q18644528-5371EAB6-BDAA-4905-AE19-F295B457389A
Q18644615,Matjaž Han,,,,,male,1971-01-17,11,Q18644615-A06ADB22-0667-4A46-B617-3916E4BE969D
Q18644665,Mihael Prevc,,,,,male,1957-09-30,11,Q18644665-366D2299-F5A6-4570-8F33-3E94272A8A26
Q217903,Zmago Jelinčič Plemeniti,,,,,male,1948-01-07,11,Q217903-7328DEAA-38C4-4DE8-B0AA-041EFC21EE3B
Q23001530,Miha Kordiš,,,,,male,1989-03-06,11,Q23001530-DC6352E4-48E3-442E-8585-9CD9FF3D12BF
Q24662016,Matej Tašner Vatovec,,,,,male,1983-02-06,11,Q24662016-141DC6A5-E93C-47B1-9016-8888FD912EA5
Q27929326,Matjaž Nemec,,,,,male,1980-04-10,11,Q27929326-2CDCFE57-8358-49C4-8949-B38FFEBF46BE
Q29048797,Anja Bah Žibert,,,,,female,1973-06-27,11,Q29048797-71451A39-6DE2-411F-86D5-F0AE6508A7A3
Q3061255,Eva Irgl,,,,,female,1976-12-09,11,Q3061255-6998d9d5-462b-cd84-6816-432ae4af6ca0
Q32945377,Bojan Podkrajšek,,,,,male,1968-01-08,11,Q32945377-F39DF4D6-72AC-438C-9A11-BCF3AA0983C2
Q3739767,Alenka Bratušek,,,,,female,1970-03-31,11,Q3739767-274560FC-E779-49A4-844A-626883DBE1EF
Q3776473,Gregor Židan,,,,,male,1965-10-05,11,Q3776473-193902F9-FCD2-42C2-93EA-A5491F34AA5F
Q43389527,Nada Brinovšek,,,,,female,1961-04-24,11,Q43389527-8F9FD1F6-7278-4F07-A24F-D1F9C7556B49
Q43389533,Suzana Lep Šimenko,,,,,female,1979-10-30,11,Q43389533-698854C3-3F2F-4E6B-98E4-47D145681C6B
Q43389540,Igor Zorčič,,,,,male,1978-01-09,11,Q43389540-CE470EE2-A32E-4E78-A387-DED1EABEFBF3
Q43389566,Dušan Verbič,,,,,male,1952-09-13,11,Q43389566-E64C3223-2A0E-4D8B-88B4-ECD621F92332
Q43389601,Janja Sluga,,,,,female,1974-05-15,11,Q43389601-8D7D690E-FE51-41FE-9017-1B26E47C6DD1
Q43389610,Bojana Muršič,,,,,female,1971-09-20,11,Q43389610-9CA02D38-CB53-4ED0-ACCC-E81389695787
Q43389752,Branislav Rajić,,,,,male,1962-05-09,11,Q43389752-B6316845-A99A-4E9C-B041-2CE95A640C0F
Q54557559,Nataša Sukič,,,,,female,1962-06-01,11,Q54557559-71D337F1-0EA8-4A53-B449-4A15C0C25524
Q54944131,Tina Heferle,,,,,female,1986-05-28,11,Q54944131-92487B2E-6F85-40AC-94FF-4DC4F3E30707
Q56162105,Robert Polnar,,,,,male,1960-12-01,11,Q56162105-BEC58889-85FA-43B7-B0AE-EED48656A1C6
Q56681695,Lidija Ivanuša,,,,,female,1979-01-03,11,Q56681695-1488bfe3-4929-89c8-05e8-597d95a3c467
Q61358335,Dejan Kaloh,,,,,male,1975-02-01,11,Q61358335-DF34DBAE-D531-45BE-8C21-12A58FB669CB
Q64517964,Primož Siter,,,,,male,1979-08-18,11,Q64517964-6FA1B9AA-2F8A-4C46-B1D0-4BD5422BEEBB
Q65499856,Andreja Zabret,,,,,female,,,Q65499856-DF1D4CFF-4102-4F4C-BD5A-CC28B35CDBDB
Q65924381,Franc Rosec,,,,,male,1967-10-28,11,Q65924381-07970BAA-DE16-46C2-BCA4-150C110F6FB8
Q66686387,Marko Bandelli,,,,,male,1967-11-19,11,Q66686387-23FDE3ED-9230-4FC8-A1FB-78F0FD580B30
Q67503617,Aleksander Reberšek,,,,,male,1980-10-09,11,Q67503617-06EFAE30-3A59-4B48-93D1-BB885262ABEB
Q76191616,Rudi Medved,,,,,male,1959-12-28,11,Q76191616-BF9E7AC0-3547-4C98-9E0E-9A0DCFA6FCAA
Q77844996,Boštjan Koražija,,,,,male,1974-12-18,11,Q77844996-D9A70D1C-C069-4E1C-A928-70BC3B7CF317
Q96435819,Monika Gregorčič,,,,,female,1969-03-05,11,Q96435819-F3835850-207A-4245-964A-FD6A50A84EF5
Q99373510,Meira Hot,,,,,female,1980-02-14,11,Q99373510-31D14D64-D33C-4070-BB83-C7DE8A3DDC5B
